,Sentences
4575,  it is really late is that mcdonalds on 3 rd street still open
4576,  it might seem strange but i want to eat somewhere that doesnt have a roof
4577,  it there an italian bistro in my area
4578,  italian fine dining please
4579,  italian food
4580,  italian food close by
4581,  italian food near my location
4582,  italian food nearby
4583,  italian food places
4584,  italian food sounds good for tonight
4585,  italian restaurant open now for carry out
4586,  italian restaurant with dress code
4587,  italian restaurants
4588,  italian restaurants nearby
4589,  italian upscale for dinner
4590,  italian with outdoor seating
4591,  its 2 am is anything open
4592,  its 4 am in the morning are there any restaurants open within ten miles of my current location
4593,  its a great day today i want to eat outside could you find a place that has outside seating
4594,  its a nice weather and i want to enjoy outdoor dining
4595,  its a special occasion tonight is marias pizzeria not too far away
4596,  its getting late are there any restaurants that are open right now in this area
4597,  its lunch time help me out here
4598,  its my birthday find me a place that offers birthday deals
4599,  its my mothers birthday can you make me a fine dining reservation
4600,  its our anniversary yeah how about a nice cozy candlelit kinda place
4601,  its past 2 am is there a yama japanese restaurant around here thats still open
4602,  its time for dinner where can i get a great steak
4603,  its time for some ice cream where is the nearest dairy queen
4604,  ive been working all night and am starving is there anything available that isnt too causal but isnt too formal either
4605,  ive never had thai food can you show me where i can try some
4606,  japanese
4607,  japanese delis
4608,  japanese fresh food with smoking section
4609,  jerk chicken
4610,  joe mills burgers
4611,  kfc
4612,  kid friendly italian restaurant near my location
4613,  kid friendly restaurant in next 5 miles
4614,  kids are hungry for happy meals
4615,  know any good drive in restaurants
4616,  know of any high class kid friendly restaurants in the area
4617,  korean restaurants
4618,  l want a restaurant with mongolian food
4619,  large seating sushi joint
4620,  late lunch
4621,  late night dining
4622,  late night spot
4623,  let me eat where you feel better
4624,  let me know how to get to a wendys
4625,  let me setup an order for carryout at china happy restaurant
4626,  lets find a coffee place within 5 miles of here
4627,  lets get lots of spaghetti
4628,  lets get some halal with a view near lee burbank
4629,  lets go to a place where there is really good chicken
4630,  lets go to the best little restaurant the one with the attractive decor
4631,  lets go to the whites corner restaurant
4632,  list all of the burger joints on this side of town
4633,  list all places within 30 miles that have high rated pizzas along with phone numbers
4634,  list all possibilities for a small cafe with russian food
4635,  list all restaurants that accept payment with american express
4636,  list any restaurants that have a broad menu with many different styles of food that would be good for a large group with diverse tastes
4637,  list local dinners
4638,  list local gyro shops please
4639,  list local restaurants that take checks
4640,  list local seafood restaurants
4641,  list nearby restaurants and fast food places
4642,  list of all spanish restaurants
4643,  list restaurants within 2 miles
4644,  list the places that serve chinese food
4645,  list the type of food at the three nearest restaurants
4646,  listing for all diners in the area
4647,  listing for casual restaurants
4648,  listing for italian cuisine
4649,  listing for seafood restaurants
4650,  listings for all burger kings
4651,  listings for all diners
4652,  listings for all italian restaurants
4653,  listings for japanese food
4654,  listings for mexican food
4655,  local arbys restaurant
4656,  local bbq
4657,  local chinese with smoking area
4658,  local food and sports bar
4659,  local joes kitchen
4660,  local kentucky fried chicken
4661,  local red robins restaurant with smoking area
4662,  local sports bar in town
4663,  local steak resturant
4664,  local sushi restaurant near my location
4665,  local thai restaurant reviews
4666,  local yogurt and deli subs near me
4667,  locate a 5 star restaurant and tell me the dress code if they have one
4668,  locate a cheap thai restaraunt
4669,  locate a chinese restaurant with at least a 4 star rating
4670,  locate a chow place
4671,  locate a close restaurant that serves soul food
4672,  locate a family diner that is still open for at least another hour
4673,  locate a kid friendly restaurant with an early bird special that serves american food
4674,  locate a quiet place to have dinner for two
4675,  locate a quiznos
4676,  locate a restaurant
4677,  locate a restaurant along my route that has a fireplace
4678,  locate a restaurant that serves tapas and has ample parking
4679,  locate a restaurant where kids eat free
4680,  locate a restaurant with gluten free choices
4681,  locate a romantic place to eat
4682,  locate a water park for kids
4683,  locate a waterfront resturant with 4 stars and seafood
4684,  locate all restaurants that are kid friendly
4685,  locate all restaurants that serve breakfast all day
4686,  locate all the fast food places near me
4687,  locate all the restaurants that serve both american food and italian food
4688,  locate an american diner with car hop service
4689,  locate an inexpensive bar and grill within ten miles
4690,  locate an inexpensive italian restaurant
4691,  locate an inexpensive restaurant with carry out service
4692,  locate and direct me to nearest buffet style restaurant
4693,  locate and direct me to the closet fast food place with burgers and shakes with a drive through
